anio,mes,agente_nemo,agente_descripcion,tipo_agente,region,provincia,categoria_area,categoria_demanda,tarifa,categoria_tarifa,demanda_MWh,indice_tiempo
2017,02,APARZA1Y,ALTO PARANA - EX-FAPLAC S.A.,GU,BUENOS AIRES,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1972.558,2017-02
2017,02,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,RESIDENCIAL,Residencial,19799.195,2017-02
2017,02,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,RESIDENCIAL PLAN ESTIMULO AHORRO >=10 Y <=20%,Residencial,2852.523,2017-02
2017,02,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,RESIDENCIAL PLAN ESTIMULO AHORRO >20%,Residencial,4341.793,2017-02
2017,02,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,TARIFA BASE ELECTRODEPENDIENTES,Residencial,3.269,2017-02
2017,02,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,TARIFA ELECTROD. EXCEDENTE S/AHORRO <= 450MWH,Residencial,1.012,2017-02
2017,02,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,TARIFA ELECTROD. EXCEDENTE S/AHORRO > 450MWH,Residencial,0.153,2017-02
2017,02,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,TARIFA ELECTROD. EXEDENTE SIN AHORRO < 450MWH,Residencial,1.012,2017-02
2017,02,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,TARIFA ELECTROD. EXEDENTE SIN AHORRO > 450MWH,Residencial,0.153,2017-02
2017,02,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,TARIFA SOCIAL CONSUMO BASE,Residencial,5550.32,2017-02
2017,02,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,TARIFA SOCIAL EXCEDENTE < 450 KWH,Residencial,3463.84,2017-02
2017,02,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,TARIFA SOCIAL EXCEDENTE > 450 MWH,Residencial,313.714,2017-02
2017,02,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,TARIFA SOCIAL EXCEDENTE CON AHORRO,Residencial,1890.42,2017-02
2017,02,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,TARIFA SOCIAL SIN AHORRO EXCEDENTE <= 450 KWH,Residencial,3463.84,2017-02
2017,02,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,TARIFA SOCIAL SIN AHORRO EXCEDENTE > 450 MWH,Residencial,313.714,2017-02
2017,02,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,TARIFA USUARIO NO RESIDENCIAL <300KWH,Comercial,34723.981,2017-02
2017,02,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,TARIFA USUARIO NO RESIDENCIAL >=300KWH,Industrial/Comercial Grande,8901.168,2017-02
2017,02,APLAMAOY,AMERICAN PLAST Pta. Malv. Arg.,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,2173.017,2017-02
2017,02,APLAMAOY,BEMIS ARGENTINA Pta.Malv. Arg.,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,2173.017,2017-02
2017,02,APSAABCY,ALTO PALERMO S.A. Sh. Abasto,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,2055.144,2017-02
